x,y,z
 0, 9,-10
 0, 9,-11
 0, 9,-11
 0,10,-10
 0,10,-10
 0,11,-10
 0,10,-10
 0,10,-10
 0,10,-9
 0, 9,-10
 0, 8,-11
 0, 8,-11
 0, 7,-12
 0, 7,-11
-1, 6,-12
 0, 5,-12
 0, 4,-12
 0, 5,-12
 0, 5,-13
 0, 4,-13
 0, 3,-13
 0, 3,-13
 0, 3,-13
 0, 3,-13
 0, 2,-13
 0, 1,-13
 0, 0,-13
 0, 0,-13
 0, 0,-13
 0,-1,-13
 0,-2,-13
 0,-2,-13
 0,-3,-13
-1,-1,-14
-3,-4,-11
-1,-5,-12
-1,-5,-12
 0,-5,-13
-1,-6,-12
-1,-7,-11
-1,-7,-11
-1,-7,-11
 0,-7,-11
 0,-8,-11
-1,-9,-10
 0,-9,-10
-1,-9,-9
 0,-10,-9
-1,-10,-8
 0,-11,-8
 0,-12,-7
-1,-12,-7
-1,-12,-6
 0,-14,-5
-1,-14,-6
-1,-14,-6
-1,-14,-6
-1,-14,-7
-1,-13,-7
-1,-13,-7
 0,-13,-7
-1,-13,-6
-1,-11,-11
-2,-10,-13
 0,-8,-10
-1,-7,-8
-1,-5,-10
-1,-4,-15
-2,-3,-16
-3,-3,-12
-4,-3,-12
-4,-2,-11
-4,-2,-12
-4, 0,-11
-5,-1,-13
-5, 0,-13
-7, 0,-11
-8, 0,-11
-7, 0,-10
-8, 0,-10
-8, 0,-11
-9, 0,-9
-9, 0,-10
-9, 1,-9
-10, 1,-10
-9, 1,-10
-9, 1,-9
-10, 2,-9
-10, 3,-9
-9, 3,-8
-9, 3,-8
-8, 5,-8
-8, 5,-7
-7, 6,-9
-7, 8,-9
-7, 8,-9
-6, 8,-10
-7, 7,-10
-6, 8,-9
-5, 9,-11
